log_trip_id,vessel_flag,primary_eez_code,departure_month,modal_offset
07C3B90D-2268-8A49-4AAE-39DA04F9AD2C,PG,PG,11,10
7D9C417B-BDE2-369A-59BB-39DA04F9B71E,PG,PG,12,10
9741FA9D-30F0-3F4A-C178-39DA04F9BAFC,PG,PG,11,10
95D01A5C-DB04-E5EB-907C-39DA04F9BBB7,TW,NR,6,12
0152473B-2700-8017-1FD9-39DA04F9BC07,KI,H4,11,12
A2B2D31E-17AA-73B5-F11B-39DA04F9C220,FM,PG,11,9
A27D2491-CF8C-25E5-8FA0-39DA04F9C3DE,PG,PG,11,10
FCC02120-3139-0AB9-F2A2-39DA04F9C56A,PG,PG,11,10
C81C5D9B-7B4E-0604-A717-39DA04F9D29D,PG,PG,11,10
77235C4C-E9E1-9C11-1B8E-39DA04F9D3C6,PG,PG,11,10
265AFD15-7873-9C56-703D-39DA04F9D7D4,PG,PG,11,10
3173B049-EC92-503E-9FB5-39DA04F9D8FA,PH,PG,11,10
73A256CC-7CA2-712C-CBE7-39DA04F9DA12,FM,I4,11,12
F8D3DDA6-79B1-2C9A-2269-39DA04F9DE91,PG,PG,11,10
230134FA-D2A9-63C1-FCF1-39DA04F9F662,PG,PG,12,10
E389856E-D2D5-1053-FA0E-39DA04F9FFCD,PG,PG,12,10
631E2D24-DABE-C9AE-92AA-39DA04FA0049,PG,PG,12,10
C0DD7866-E070-4843-1943-39DA04FA04F1,FM,PG,12,11
6573D561-E63F-0D97-3616-39DA04FA0E29,FM,FM,12,11
4B67FD6C-C496-E507-E163-39DA04FA0F6E,FM,PG,11,10
